4075,118,0
293,9,0
3964,142,0
1569,33,0
26686,860,0
7956,328,0
14755,868,0
2014,46,0
2197,72,0
22511,596,0
14987,552,0
524,9,0
1473,39,0
24593,949,0
8960,436,0
1995,53,0
1504,71,0
2210,115,0
21951,1103,0
770,24,0
10032,311,0
29918,1108,0
28059,1921,0
1809,87,0
3360,122,0
4791,153,0
404,7,0
901,20,0
3211,131,0
1139,32,0
71030,3156,0
1484,36,0
214454,11617,0
5340,130,0
365,9,0
7794,362,0
2263,123,0
1663,58,0
26753,779,0
3251,80,0
3656,106,0
1168,6,0
5827,124,0
15907,375,0
2548,20,0
759,29,0
7202,205,0
10942,552,0
702,10,0
3721,183,0
287,1,0
