4345,133,0
300,9,0
4237,150,0
1620,37,0
27677,956,0
8286,355,0
15884,971,0
2070,55,0
2350,81,0
23343,668,0
15669,587,0
530,9,0
1587,41,0
25734,1072,0
9542,477,0
2141,60,0
1615,80,0
2435,129,0
22532,1156,0
796,27,0
10784,319,0
32181,1108,0
28809,1996,0
1809,87,0
3624,129,0
5174,169,0
415,7,0
952,21,0
3214,137,0
1139,32,0
75317,3518,0
1484,36,0
223691,14832,0
5639,150,0
393,9,0
8414,407,0
2357,131,0
1736,64,0
28258,841,0
3529,87,0
3931,111,0
1311,7,0
6375,136,0
16876,414,0
2683,20,0
774,33,0
7617,220,0
11057,579,0
728,12,0
3875,197,0
296,2,0
