1952,49,0
190,6,0
2732,65,0
875,16,0
16019,380,0
5183,150,0
6906,206,0
783,15,0
1097,24,0
13324,236,0
7314,229,0
387,5,0
1101,10,0
12262,307,0
4956,143,0
946,25,0
849,25,0
955,45,0
14867,512,0
499,10,0
4045,91,0
13837,260,0
17221,727,0
986,30,0
1738,51,0
2736,47,0
299,6,0
417,9,0
1953,46,0
715,9,0
41090,1003,0
757,12,0
131815,4698,0
2962,45,0
225,3,0
4453,142,0
1329,51,0
1068,27,0
13127,179,0
1082,27,0
2232,48,0
288,4,0
3802,65,0
8043,150,0
1685,13,0
543,23,0
3223,70,0
8311,381,0
345,4,0
2449,78,0
210,0,0
