2947,80,0
246,7,0
3112,97,0
1171,21,0
21081,583,0
6202,226,0
10538,448,0
1326,32,0
1660,38,0
17531,390,0
11485,416,0
442,6,0
1354,24,0
17887,597,0
6907,300,0
1388,31,0
1117,42,0
1693,90,0
19253,755,0
586,17,0
6968,171,0
20974,599,0
22434,1276,0
1336,57,0
2469,82,0
3897,99,0
365,6,0
635,15,0
2722,90,0
819,21,0
54588,1932,0
1081,17,0
172348,7867,0
3965,83,0
278,6,0
5878,231,0
1794,88,0
1322,44,0
20051,418,0
1727,43,0
3067,72,0
536,6,0
4891,98,0
12105,238,0
2103,17,0
679,24,0
5083,126,0
10119,483,0
574,5,0
3068,128,0
239,0,0
