2169,64,0
213,6,0
2870,73,0
946,18,0
17351,432,0
5429,179,0
7781,277,0
928,16,0
1211,22,0
14545,283,0
8822,329,0
410,5,0
1170,13,0
12271,308,0
5510,173,0
1046,25,0
912,29,0
1149,65,0
16284,582,0
519,12,0
4371,103,0
15202,356,0
18970,845,0
1069,34,0
1915,60,0
3130,65,0
319,6,0
447,10,0
2124,72,0
715,9,0
44416,1232,0
876,13,0
139875,5489,0
3299,53,0
237,4,0
4782,167,0
1474,67,0
1132,29,0
14853,247,0
1229,30,0
2417,51,0
320,6,0
4139,72,0
8925,160,0
1746,13,0
575,23,0
3747,70,0
8692,400,0
412,4,0
2578,92,0
216,0,0
